timestamp,input,pred_지역,pred_거래유형,pred_주거유형,pred_층조건,pred_근접시설,pred_가격_최소,pred_가격_최대,pred_면적_최소,true_지역,true_거래유형,true_주거유형,true_층조건,true_근접시설,true_가격_최소,true_가격_최대,true_면적_최소,match_지역,match_거래유형,match_주거유형,match_층조건,match_근접시설,match_가격_최소,match_가격_최대,match_면적_최소,exact_match_all_slots,top3_listings,final_answer
2026-07-06T12:08:27,원룸 구하는데 노원구 버스정류장 인접이면 좋겠어요,노원구,,원룸,,버스정류장 인접,,,,노원구,,원룸,,버스정류장 인접,,,,True,True,True,True,True,True,True,True,True,노원구 전세 0만원; 노원구 전세 0만원; 노원구 전세 0만원,"조건에 맞는 방 3개를 찾았어요: | ① 노원구 원룸 전세 0만원, 버스정류장 인접 | ① 노원구 원룸 전세 0만원, 버스정류장 인접 | ① 노원구 원룸 전세 0만원, 버스정류장 인접"
2026-07-06T12:08:30,마포구 1층 말고 월세 56만원 넘지 않게,마포구,월세,,,,,56,,마포구,월세,,1층,학교 근처,,56.0,,True,True,True,False,False,True,True,True,False,마포구 월세 54만원; 마포구 월세 52만원; 마포구 월세 53만원,"조건에 맞는 방 3개를 찾았어요: | ① 마포구 원룸 월세 54만원 | ① 마포구 원룸 월세 52만원 | ① 마포구 투룸 월세 53만원, 대학가 인근"
2026-07-06T12:08:32,송파구 원룸 전세,송파구,전세,원룸,,,,,,송파구,전세,원룸,저층,,,,,True,True,True,False,True,True,True,True,False,송파구 전세 0만원; 송파구 전세 0만원; 송파구 전세 0만원,"조건에 맞는 방 3개를 찾았어요: | ① 송파구 원룸 전세 0만원, 역세권 | ① 송파구 원룸 전세 0만원, 대학가 인근 | ① 송파구 원룸 전세 0만원, 학교 근처"
2026-07-06T12:08:34,오피스텔 관악구 있나요,관악구,,오피스텔,,,,,,관악구,,오피스텔,,,,,,True,True,True,True,True,True,True,True,True,관악구 전세 0만원; 관악구 전세 0만원; 관악구 전세 0만원,"조건에 맞는 방 3개를 찾았어요: | ① 관악구 오피스텔 전세 0만원, 역세권 | ① 관악구 오피스텔 전세 0만원, 대학가 인근 | ① 관악구 오피스텔 전세 0만원, 학교 근처"
2026-07-06T12:08:36,노원구 투룸 전세,노원구,전세,투룸,,,,,,노원구,전세,투룸,,,,,,True,True,True,True,True,True,True,True,True,노원구 전세 0만원; 노원구 전세 0만원; 노원구 전세 0만원,"조건에 맞는 방 3개를 찾았어요: | ① 노원구 투룸 전세 0만원, 역세권 | ① 노원구 투룸 전세 0만원, 대학가 인근 | ① 노원구 투룸 전세 0만원, 학교 근처"
2026-07-06T12:08:39,관악구 1층 말고 월세,관악구,월세,,,,,,,관악구,월세,,1층,역세권,,,,True,True,True,False,False,True,True,True,False,관악구 월세 54만원; 관악구 월세 53만원; 관악구 월세 44만원,"조건에 맞는 방 3개를 찾았어요: | ① 관악구 원룸 월세 54만원, 역세권 | ① 관악구 원룸 월세 53만원, 대학가 인근 | ① 관악구 원룸 월세 44만원, 학교 근처"
2026-07-06T12:08:59,송파구에서 월세 원룸 찾아줘,송파구,월세,원룸,,,,,,송파구,월세,원룸,,,,,,True,True,True,True,True,True,True,True,True,송파구 월세 83만원; 송파구 월세 57만원; 송파구 월세 80만원,"조건에 맞는 방 3개를 찾았어요: | ① 송파구 원룸 월세 83만원, 역세권 | ① 송파구 원룸 월세 57만원, 대학가 인근 | ① 송파구 원룸 월세 80만원, 학교 근처"
2026-07-06T12:09:01,원룸 노원구 있나요,노원구,,원룸,,,,,,노원구,,원룸,저층,,,,,True,True,True,False,True,True,True,True,False,노원구 전세 0만원; 노원구 전세 0만원; 노원구 전세 0만원,"조건에 맞는 방 3개를 찾았어요: | ① 노원구 원룸 전세 0만원, 역세권 | ① 노원구 원룸 전세 0만원, 대학가 인근 | ① 노원구 원룸 전세 0만원, 학교 근처"
2026-07-06T12:09:04,전세로 방 있어?,,전세,,,,,,,,전세,,1층,버스정류장 인접,,,,True,True,True,False,False,True,True,True,False,강남구 전세 0만원; 강남구 전세 0만원; 강남구 전세 0만원,"조건에 맞는 방 3개를 찾았어요: | ① 강남구 원룸 전세 0만원, 역세권 | ① 강남구 원룸 전세 0만원, 대학가 인근 | ① 강남구 원룸 전세 0만원, 학교 근처"
2026-07-06T12:09:06,강남구로 집 좀 찾아줘,강남구,,,,,,,,강남구,,,중층,,,85.0,,True,True,True,False,True,True,False,True,False,강남구 전세 0만원; 강남구 전세 0만원; 강남구 전세 0만원,"조건에 맞는 방 3개를 찾았어요: | ① 강남구 원룸 전세 0만원, 역세권 | ① 강남구 원룸 전세 0만원, 대학가 인근 | ① 강남구 원룸 전세 0만원, 학교 근처"
2026-07-06T12:09:08,원룸 강남구 있나요,강남구,,원룸,,,,,,강남구,,원룸,1층,,,,,True,True,True,False,True,True,True,True,False,강남구 전세 0만원; 강남구 전세 0만원; 강남구 전세 0만원,"조건에 맞는 방 3개를 찾았어요: | ① 강남구 원룸 전세 0만원, 역세권 | ① 강남구 원룸 전세 0만원, 대학가 인근 | ① 강남구 원룸 전세 0만원, 학교 근처"
2026-07-06T12:09:10,노원구에서 전세 원룸 찾아줘,노원구,전세,원룸,,,,,,노원구,전세,원룸,,,,,,True,True,True,True,True,True,True,True,True,노원구 전세 0만원; 노원구 전세 0만원; 노원구 전세 0만원,"조건에 맞는 방 3개를 찾았어요: | ① 노원구 원룸 전세 0만원, 역세권 | ① 노원구 원룸 전세 0만원, 대학가 인근 | ① 노원구 원룸 전세 0만원, 학교 근처"
2026-07-06T12:20:57,원룸 구하는데 노원구 버스정류장 인접이면 좋겠어요,노원구,,원룸,,버스정류장 인접,,,,노원구,,원룸,,버스정류장 인접,,,,True,True,True,True,True,True,True,True,True,노원구 전세 0만원; 노원구 전세 0만원; 노원구 전세 0만원,"조건에 맞는 방 3개를 찾았어요: | ① 노원구 원룸 전세 0만원, 버스정류장 인접 | ① 노원구 원룸 전세 0만원, 버스정류장 인접 | ① 노원구 원룸 전세 0만원, 버스정류장 인접"
2026-07-06T12:21:16,오피스텔 마포구 있나요,마포구,,오피스텔,,,,,,마포구,,오피스텔,,,,,,True,True,True,True,True,True,True,True,True,마포구 전세 0만원; 마포구 전세 0만원; 마포구 전세 0만원,"조건에 맞는 방 3개를 찾았어요: | ① 마포구 오피스텔 전세 0만원, 역세권 | ① 마포구 오피스텔 전세 0만원, 대학가 인근 | ① 마포구 오피스텔 전세 0만원, 학교 근처"
